v1,full_name,reaction_EC,gene_symbol,v3,Vitisnet_Network1,Vitisnet_Network2,,
VIT_04s0023g02160,Unknown protein,,,Vitvi04g01337,,,,
VIT_04s0023g02170,S-adenosyl-L-methionine:carboxyl methyltransferase,,,Vitvi04g01338,,,,
VIT_04s0023g02200,S-adenosyl-L-methionine:salicylic acid carboxyl methyltransferase,SAMTBSCMT,,Vitvi04g01339,vv10360Phenylalanine_metabolism,,,
VIT_04s0023g02330,Unknown protein,,,Vitvi04g01345,,,,
VIT_04s0023g02340,Unknown protein,,,Vitvi04g01351,,,,
VIT_04s0023g02350,CYP722A1,,,Vitvi04g01352,,,,
VIT_04s0023g02360,Chaperone BCS1 mitochondrial,K08900,,Vitvi04g01353,,,,
VIT_04s0023g02370,AAA-type ATPase,,,Vitvi04g01357,,,,
VIT_04s0023g02380,R protein MLA10,K13475,,Vitvi04g01358,vv34627R_proteins_from_Plant-pathogen_interaction,,,
VIT_04s0023g02390,Thioredoxin domain-containing protein 9,,,Vitvi04g01359,,,,
VIT_04s0023g02400,SEC14 cytosolic factor,SEC14,,Vitvi04g01360,vv50122Porters_cat_7_to_17,,,
VIT_04s0023g02410,Ethylene-responsive protein -related,ERUNK_2,,Vitvi04g01361,vv30008Ethylene_signaling,vv60011BHLH,,
VIT_04s0023g02420,Mitogen-activated protein kinase 4,K06855,,Vitvi04g01362,,,,
VIT_04s0023g02440,Unknown protein,,,Vitvi04g01364,,,,
VIT_04s0023g02450,Papain cysteine proteinase,E3_4_22_2,,Vitvi04g01366,,,,
VIT_04s0023g02460,Transducin protein,,,Vitvi04g01367,,,,
VIT_04s0023g02480,Dehydrin 1b,,,Vitvi04g01368,,,,
VIT_04s0023g02490,Pentatricopeptide (PPR) repeat-containing,,,Vitvi04g01369,,,,
VIT_04s0023g02500,Unknown protein,,,Vitvi04g01370,,,,
VIT_04s0023g02510,Glycosyl transferase family 1 protein,,,Vitvi04g01371,,,,
VIT_04s0023g02530,Non-intrinsic ABC protein 12,K05679,,Vitvi04g01372,vv52010ABC_transporters,,,
VIT_04s0023g02550,Unknown protein,,,Vitvi04g01375,,,,
VIT_04s0023g02560,Unknown protein,,,Vitvi04g01377,,,,
VIT_04s0023g02580,No hit,,,Vitvi04g01379,,,,
VIT_04s0023g02600,folate transporter 1,FOLT1,,Vitvi04g01381,vv44146Peroxisome,vv50123Porters_cat_18_to_29,,
VIT_04s0023g02610,Epoxide hydrolase 2,E3_3_2_10,,Vitvi04g01382,,,,
VIT_04s0023g02630,FAD linked oxidase family protein,,,Vitvi04g01383,,,,
VIT_04s0023g02640,CDK5RAP1,,,Vitvi04g01384,,,,
VIT_04s0023g02650,CYP90D1 ROT3 (ROTUNDIFOLIA 3) steroid hydroxylase,,,Vitvi04g01385,,,,
VIT_04s0023g02660,Unknown protein,,,Vitvi04g01386,,,,
VIT_04s0023g02680,Dimethyladenosine transferase,K02528,,Vitvi04g01388,,,,
VIT_04s0023g02690,Beta-galactosidase,E3_2_1_23,,Vitvi04g01389,vv10052Galactose_metabolism,vv10511N-Glycan_degradation,,
VIT_04s0023g02700,Thioredoxin H,,,Vitvi04g01390,,,,
VIT_04s0023g02720,RTE1 (reversion-to-ethylene sensitivity1),RTE1,,Vitvi04g01391,vv30008Ethylene_signaling,,,
VIT_04s0023g02730,Nodulin MtN21 family,MTN21,,Vitvi04g01392,vv50122Porters_cat_7_to_17,,,
VIT_04s0023g02740,ATP-binding region; ATPase,,,Vitvi04g01393,,,,
VIT_04s0023g02750,FG-GAP repeat-containing protein,,,Vitvi04g01396,,,,
VIT_04s0023g02760,Protein kinase,,,Vitvi04g01397,,,,
VIT_04s0023g02780,Short internodes,SHI_2,,Vitvi04g01399,vv60059SRS,,,
VIT_04s0023g02790,Dehydration-responsive protein,,,Vitvi04g01400,,,,
VIT_04s0023g02800,Glutaredoxin,,,Vitvi04g01401,,,,
VIT_04s0023g02830,forkhead-associated domain-containing protein,FHADOM_2,,Vitvi04g01406,vv60028FHA,,,
VIT_04s0023g02840,Leucine-rich repeat disease resistance protein,,,Vitvi04g01407,,,,
VIT_04s0023g02870,Disease resistance protein Hcr2-5D,,,Vitvi04g01408,,,,
VIT_04s0023g02880,GATA transcription factor 14,GAT14,,Vitvi04g01410,vv60016C2C2-GATA,,,
VIT_04s0023g02940,Unknown protein,,,Vitvi04g01413,,,,
VIT_04s0023g02950,Zinc finger (CCCH-type) family protein,CCCHFAM_21,,Vitvi04g01414,vv60018C3H,,,
VIT_04s0023g02970,UPF0183 protein,,,Vitvi04g01418,,,,
VIT_04s0023g02980,Pectinesterase family,E3_1_1_11,,Vitvi04g01419,vv40006Cell_wall,,,
VIT_04s0023g02990,Cell growth defect factor 1,,,Vitvi04g01420,,,,
VIT_04s0023g03010,fructose-bisphosphate aldolase; chloroplast precursor,E4_1_2_13,,Vitvi04g01421,vv10010Glycolysis,vv10030Pentose_phosphate,,
VIT_04s0023g03020,Serine carboxypeptidase S28,,,Vitvi04g01422,,,,
VIT_04s0023g03030,Zinc finger (B-box type),ZFBBOX_7,,Vitvi04g01423,vv60073Orphans_zf-b_box,,,
VIT_04s0023g03040,Lactoylglutathione lyase,E4_4_1_5,,Vitvi04g01424,vv10620Pyruvate_metabolism,,,
VIT_04s0023g03060,Kinesin motor protein,KMOTOR,,Vitvi04g01425,vv44810Regulation_of_actin_cytoskeleton,,,
VIT_04s0023g03070,Leucine-rich repeat family protein / extensin,EXTENSIN,,Vitvi04g01426,vv40006Cell_wall,,,
VIT_04s0023g03090,No hit,,,Vitvi04g01429,,,,
VIT_04s0023g03120,Histone H3,,,Vitvi04g01431,,,,
VIT_04s0023g03130,Histone H1,,,Vitvi04g01432,,,,
VIT_04s0023g03150,Heterogeneous nuclear ribonucleoprotein R,HNRNPR,,Vitvi04g01433,,,,
VIT_04s0023g03160,Unknown protein,,,Vitvi04g01434,,,,
VIT_04s0023g03180,Zinc finger (CCCH-type) family protein,CCCHFAM_20,,Vitvi04g01436,vv60018C3H,,,
VIT_04s0023g03190,Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1,K09578,,Vitvi04g01437,,,,
VIT_04s0023g03200,Peptide methionine sulfoxide reductase,E1_8_4_12,,Vitvi04g01438,vv10240Pyrimidine_metabolism,,,
VIT_04s0023g03210,Ribosomal protein L8 (RPL8C) 60S,K02938,,Vitvi04g01439,vv23010Ribosome,,,
VIT_04s0023g03220,Myosin-related,MYOSINR,,Vitvi04g01440,vv44810Regulation_of_actin_cytoskeleton,,,
VIT_04s0023g03230,Auxin-responsive SAUR9,SAUR9,,Vitvi04g01441,vv30003Auxin_signaling,,,
VIT_04s0023g03240,Transcription factor TFIIF,K03138,,Vitvi04g01442,vv23022Basal_transcription_factors,,,
VIT_04s0023g03250,Kinectin,,,Vitvi04g01443,,,,
VIT_04s0023g03260,Cellulase2,E3_2_1_4,,Vitvi04g01444,vv40006Cell_wall,,,
VIT_04s0023g03270,Anthranilate phosphoribosyltransferase,E2_4_2_18,,Vitvi04g01446,vv10400Phenylalanine_tyrosine_and_tryptophan_biosynthesis,,,
VIT_04s0023g03280,Zinc finger (Ran-binding),ZFRANBPDOM_3,,Vitvi04g01447,vv60080Other_zf,,,
VIT_04s0023g03300,2OG-Fe(II) oxygenase,,,Vitvi04g01448,,,,
VIT_04s0023g03320,WD repeat-protein,,,Vitvi04g01450,,,,
VIT_04s0023g03340,Adaptor-related protein complex 2; sigma 1 sub,AP2S1,,Vitvi04g01451,vv50110Protein_coat,,,
VIT_04s0023g03350,transformation/transcription domain-associated protein,K08874,,Vitvi04g01452,,,,
VIT_04s0023g03360,Unknown protein,,,Vitvi04g01453,,,,
VIT_04s0023g03440,AP endonuclease 2,K10772,,Vitvi04g01464,vv23410Base_excision_repair,,,
VIT_04s0023g03470,DNAJ heat shock N-terminal domain-containing protein,DNAJREL,,Vitvi04g01466,vv50132Primary_active_transporter_cat_A5_to_A8,,,
VIT_04s0023g03480,Armadillo/beta-catenin repeat,,,Vitvi04g01467,,,,
VIT_04s0023g03510,Ferredoxin:nadp+ Oxidoreductase PETH,K02641,,Vitvi04g01468,vv10195Photosynthesis,vv50135Primary_active_transporter_cat_D3_to_E2,,
VIT_04s0023g03520,Cold-shock DNA-binding,K03704_3,,Vitvi04g01469,vv60023CSD,,,
VIT_04s0023g03540,Thaumatin SCUTL1,,,Vitvi04g01470,,,,
VIT_04s0023g03550,Thaumatin,,,Vitvi04g01471,,,,
VIT_04s0023g03560,Methyltransferase,,,Vitvi04g01472,,,,
VIT_04s0023g03580,JR700,,,Vitvi04g01474,,,,
VIT_04s0023g03620,Proteasome 26S regulatory subunit S5A (RPN10),K03029,,Vitvi04g01476,vv23050Proteasome,,,
VIT_04s0023g03630,WD repeat domain 60,,,Vitvi04g01477,,,,
VIT_04s0023g03650,Galactose mutarotase-like,E5_1_3_3,,Vitvi04g01481,vv10010Glycolysis,,,
VIT_04s0023g03670,ERD7 (EARLY-responsive TO dehydration 7),,,Vitvi04g01482,,,,
VIT_04s0023g03680,Histidine kinase 1 (AHK1),,,Vitvi04g01483,,,,
VIT_04s0023g03690,Proteasome 20S alpha subunit D2 (PAD2) (PRS1) (PRC6),K02731a,,Vitvi04g01484,vv23050Proteasome,,,
VIT_04s0023g03700,Unknown protein,,,Vitvi04g01485,,,,
VIT_04s0023g03760,Unknown protein,,,Vitvi04g01488,,,,
VIT_04s0023g03780,Cell cycle checkpoint protein RAD17 (AtRAD17),,,Vitvi04g01490,,,,
VIT_04s0023g03830,HECT ubiquitin-protein ligase 3 (KAKTUS protein),K10590,,Vitvi04g01493,vv24120Ubiquitin_mediated_proteolysis,,,
VIT_04s0023g03840,Beta-galactosidase,E3_2_1_23,,Vitvi04g01494,vv10052Galactose_metabolism,vv10511N-Glycan_degradation,,
VIT_04s0023g03850,Beta-galactosidase,E3_2_1_23,,Vitvi04g01495,vv10052Galactose_metabolism,vv10511N-Glycan_degradation,,
VIT_04s0023g03860,Rac-like GTP-binding protein ARAC1 precursor (GTPase protein ROP3),,,Vitvi04g01498,,,,
VIT_04s0023g03870,Vacuolar protein sorting 35,VPS35,,Vitvi04g01499,vv50110Protein_coat,,,
VIT_04s0023g03880,Unknown,,,Vitvi04g01500,,,,
VIT_00s0349g00020,Unknown protein,,,Vitvi04g01503,,,,
VIT_00s0349g00030,Skp1,K03094,,Vitvi04g01504,vv24120Ubiquitin_mediated_proteolysis,vv24141Protein_processing_in_endoplasmic_reticulum,,
VIT_00s0349g00050,Protein FD (BZIP transcription factor 14),FD_2,,Vitvi04g01505,vv30009Flower_development,vv60012BZIP,,
VIT_00s0349g00060,La domain-containing protein,,,Vitvi04g01506,,,,
VIT_00s0338g00010,F-box family protein,,,Vitvi04g01519,,,,
VIT_00s0338g00030,Cellular retinaldehyde-binding/triple function; C-terminal,,,Vitvi04g01520,,,,
VIT_00s0338g00050,Vitamin K epoxide reductase,E1_1_4_1,,Vitvi04g01524,vv10100Biosynthesis_of_steroids,,,
VIT_00s0936g00010,Protein kinase,,,Vitvi04g01525,,,,
VIT_00s0264g00130,Ankyrin repeat protein; chloroplast precursor (AKRP),K10380,,Vitvi04g01526,vv50108Accessory_factors_involved_in_transport,,,
VIT_00s0264g00120,Transformer serine/arginine-rich ribonucleoprotein,,,Vitvi04g01527,,,,
VIT_00s0264g00110,Pentatricopeptide (PPR) repeat-containing protein,,,Vitvi04g01529,,,,
VIT_00s0264g00100,Phospholipase D delta isoform 1b,PLDB1,,Vitvi04g01530,vv10564Glycerophospholipid_metabolism,vv10565Ether_lipid_metabolism,,
VIT_00s0264g00090,Phospholipase D delta isoform 1b,PLDG1,,Vitvi04g01532,vv10564Glycerophospholipid_metabolism,vv10565Ether_lipid_metabolism,,
VIT_00s0264g00070,DNA-directed RNA polymerase II subunit A,K03006,,Vitvi04g01533,vv23020RNA_polymerase,,,
VIT_00s0264g00060,Unknown,,,Vitvi04g01534,,,,
VIT_00s0264g00030,Aconitate hydratase; cytoplasmic,E4_2_1_3,,Vitvi04g01535,vv10020Citrate_cycle,vv10630Glyoxylate_and_dicarboxylate_metabolism,,
VIT_00s0264g00020,Zinc finger (C3HC4-type ring finger),ZFC3HC4_156,,Vitvi04g01536,vv60078Other_zf-C3HC4,,,
VIT_00s0684g00010,Protein kinase,,,Vitvi04g01539,,,,
VIT_00s0684g00030,SEN1 (dark inducible 1),SEN1,,Vitvi04g01540,vv30011Jasmonate_signaling,,,
VIT_00s0684g00040,Vitamin K epoxide reductase,E1_1_4_1,,Vitvi04g01541,vv10100Biosynthesis_of_steroids,,,
VIT_00s0510g00010,Unknown protein,,,Vitvi04g01542,,,,
VIT_00s0510g00020,Unknown protein,,,Vitvi04g01543,,,,
VIT_00s0510g00040,Pre-rRNA processing protein ESF1,,,Vitvi04g01545,,,,
VIT_00s0510g00050,Aspartyl protease,E3_4_23_x,,Vitvi04g01546,,,,
VIT_04s0210g00040,Strictosidine synthase,E4_3_3_2,,Vitvi04g01549,vv10900Terpenoid_biosynthesis,vv10902Monoterpenoid_biosynthesis,,
VIT_04s0210g00050,Strictosidine synthase,E4_3_3_2,,Vitvi04g01550,vv10900Terpenoid_biosynthesis,vv10902Monoterpenoid_biosynthesis,,
VIT_04s0210g00110,AMP-dependent synthetase and ligase,E6_2_1_x,,Vitvi04g01551,,,,
VIT_04s0210g00140,AMP-dependent synthetase and ligase,E6_2_1_x,,Vitvi04g01553,,,,
VIT_04s0210g00150,CYP87A2,,,Vitvi04g01554,,,,
VIT_04s0210g00160,CYP87A3,,,Vitvi04g01555,,,,
VIT_04s0210g00180,Isocitrate dehydrogenase subunit 1,E1_1_1_41,,Vitvi04g01557,vv10020Citrate_cycle,,,
VIT_04s0210g00190,Serine O-acetyltransferase; cytosolic,E2_3_1_30,,Vitvi04g01558,vv10272Cysteine_metabolism,vv10920Sulfur_metabolism,,
VIT_04s0210g00200,Golgi-localized GRIP domain-containing protein,GRIP,,Vitvi04g01559,vv50109Incompletely_characterized_transport_systems,,,
VIT_04s0210g00210,TRNA nucleotidyltransferase (CCA-adding enzyme),K00974,,Vitvi04g01560,vv23013RNA_transport,,,
VIT_04s0210g00220,Ubiquilin-1,K04523,,Vitvi04g01561,vv24141Protein_processing_in_endoplasmic_reticulum,,,
VIT_04s0044g00020,Catalase (Vitis vinifera),E1_11_1_6,,Vitvi04g01564,vv10680Methane_metabolism,vv44146Peroxisome,,
VIT_04s0044g00030,ATSAC1B/IBS2 (impaired in baba-induced sterility 2),E3_1_3_36,,Vitvi04g01565,vv10562Inositol_phosphate_metabolism,vv34070Phosphatidylinositol_signaling_system,,
VIT_04s0044g00050,Protein kinase APK1B,,,Vitvi04g01568,,,,
VIT_04s0044g00060,RWP-RK domain-containing protein,RWPRKDOM_12,,Vitvi04g01569,vv60052RWP-RK,,,
VIT_04s0044g00070,RAB GDP dissociation inhibitor 1 ATGD1,,,Vitvi04g01571,,,,
VIT_04s0044g00080,Heterogeneous nuclear ribonucleoprotein,,,Vitvi04g01572,,,,
VIT_04s0044g00100,Unknown protein,,,Vitvi04g01573,,,,
VIT_04s0044g00120,Kinase,,,Vitvi04g01575,,,,
VIT_04s0044g00130,Unknown protein,,,Vitvi04g01576,,,,
VIT_04s0044g00140,Unknown protein,,,Vitvi04g01577,,,,
VIT_04s0044g00170,MUTL protein homolog 3 (ATMLH3/MLH3),K08739,,Vitvi04g01580,vv23430Mismatch_repair,,,
VIT_04s0044g00180,Calmodulin-binding protein (Angelica dahurica),,,Vitvi04g01583,,,,
VIT_04s0044g00190,Mannitol dehydrogenase,E1_1_1_67,,Vitvi04g01585,vv10051Fructose_and_mannose_metabolism,,,
VIT_04s0044g00210,Mannitol dehydrogenase,E1_1_1_67,,Vitvi04g01586,vv10051Fructose_and_mannose_metabolism,,,
VIT_04s0044g00250,Beta-cyanoalanine synthase 1,E2_5_1_47,,Vitvi04g01589,vv10272Cysteine_metabolism,vv10450Selenoamino_acid_metabolism,,
VIT_04s0044g00280,Transcription elongation factor,,,Vitvi04g01591,,,,
VIT_04s0044g00300,Unknown protein,,,Vitvi04g01592,,,,
VIT_04s0044g00310,Nodulin MtN21 family,MTN21,,Vitvi04g01596,vv50122Porters_cat_7_to_17,,,
VIT_04s0044g00320,Unknown protein,,,Vitvi04g01597,,,,
VIT_04s0044g00430,Nodulin MtN21 family,MTN21,,Vitvi04g01599,vv50122Porters_cat_7_to_17,,,
VIT_04s0044g00450,Nodulin MtN21 family,MTN21,,Vitvi04g01600,vv50122Porters_cat_7_to_17,,,
VIT_04s0044g00490,DnaJ homolog; subfamily B; member 4,K09510,,Vitvi04g01602,vv50132Primary_active_transporter_cat_A5_to_A8,,,
VIT_04s0044g00500,Unknown protein,,,Vitvi04g01603,,,,
VIT_04s0044g00510,GT2-like trihelix DNA-binding protein,GT2REL_4,,Vitvi04g01604,vv60062Trihelix,,,
VIT_04s0044g00520,BolA,,,Vitvi04g01606,,,,
VIT_04s0044g00530,PAP/fibrillin family,K06825,,Vitvi04g01608,,,,
VIT_04s0044g00540,Pre-mRNA-splicing factor ISY1,K12870,,Vitvi04g01610,vv23040Spliceosome,,,
VIT_04s0044g00550,Carbamoyl phosphate synthetase small subunit,E6_3_5_5,,Vitvi04g01611,vv10240Pyrimidine_metabolism,vv10251Glutamate_metabolism,,
VIT_04s0044g00580,Actin 7 (ACT7) / actin 2,ACT7,,Vitvi04g01613,vv44810Regulation_of_actin_cytoskeleton,,,
VIT_04s0044g00590,No hit,,,Vitvi04g01615,,,,
VIT_04s0044g00600,Zinc finger (C3HC4-type ring finger) family protein,ZFC3HC4_222,,Vitvi04g01616,vv60078Other_zf-C3HC4,,,
VIT_04s0044g00610,Unknown protein,,,Vitvi04g01617,,,,
VIT_04s0044g00630,MAP/ERK kinase kinase 3,,,Vitvi04g01623,,,,
VIT_04s0044g00640,S-receptor kinase,,,Vitvi04g01624,,,,
VIT_04s0044g00650,S-receptor kinase,,,Vitvi04g01625,,,,
VIT_04s0044g00660,S-receptor kinase,,,Vitvi04g01626,,,,
VIT_04s0044g00710,UTP--glucose-1-phosphate uridylyltransferase,E2_7_7_9,,Vitvi04g01633,vv10040Pentose_glucuronate_interconversion,vv10052Galactose_metabolism,,
VIT_04s0044g00720,S-receptor kinase,,,Vitvi04g01635,,,,
VIT_04s0044g00730,S-receptor kinase,,,Vitvi04g01636,,,,
VIT_04s0044g00780,Endo-1;4-beta-glucanase,E3_2_1_4,,Vitvi04g01638,vv40006Cell_wall,,,
VIT_04s0044g00850,WNK6 (Arabidopsis WNK kinase 6),,,Vitvi04g01640,,,,
VIT_04s0044g00860,Protein BRUSHY 1 (Protein TONSOKU) (Protein MGOUN 3),,,Vitvi04g01641,,,,
VIT_04s0044g00880,WD40,,,Vitvi04g01643,,,,
VIT_04s0044g00890,Uridylate kinase,E2_7_4_22_2,,Vitvi04g01645,vv10240Pyrimidine_metabolism,vv60062Trihelix,,
VIT_04s0044g00900,No hit,,,Vitvi04g01648,,,,
VIT_04s0044g00920,Ankyrin,K10380,,Vitvi04g01650,,,,
VIT_04s0044g00940,ATXR5 (setdomain group 15),E2_1_1_43ATXR5_3,,Vitvi04g01653,vv10300Lysine_biosynthesis,vv60048PHD,,
VIT_04s0044g00970,Unknown protein,,,Vitvi04g01654,,,,
VIT_04s0044g00980,Ribosomal protein L17,K02879,,Vitvi04g01655,vv23010Ribosome,,,
VIT_04s0044g00990,PGSIP1 (Plant glycogenin-like starch initiation protein 1),,,Vitvi04g01657,,,,
VIT_04s0044g01030,Pectinesterase family,E3_1_1_11,,Vitvi04g01660,vv40006Cell_wall,,,
VIT_04s0044g01040,Basic helix-loop-helix (bHLH) family,BHLHDOM_94,,Vitvi04g01662,vv60011BHLH,,,
VIT_04s0044g01060,Leaf senescence related protein-like,,,Vitvi04g01663,,,,
VIT_04s0044g01080,Pentatricopeptide (PPR) repeat,,,Vitvi04g01664,,,,
VIT_04s0044g01090,Chromatin assembly factor-2 (FASCIATA2) (FAS2),,,Vitvi04g01665,,,,
VIT_04s0044g01100,Invertase/pectin methylesterase inhibitor,PMEI,,Vitvi04g01666,vv40006Cell_wall,,,
VIT_04s0044g01120,Alcohol dehydrogenase 2 (Vitis vinifera),E1_1_1_1,,Vitvi04g01669,vv10010Glycolysis,vv10071Fatty_acid_metabolism,,
VIT_04s0044g01130,Alcohol dehydrogenase 2 (Vitis vinifera),E1_1_1_1,,Vitvi04g01671,vv10010Glycolysis,vv10071Fatty_acid_metabolism,,
VIT_04s0044g01140,RNA-binding protein Y14,K12876,,Vitvi04g01672,vv23013RNA_transport,vv23015mRNA_surveillance_pathway,,
VIT_04s0044g01150,Aminotransferase; class V,,,Vitvi04g01674,,,,
VIT_04s0044g01160,Aminotransferase; class V,,,Vitvi04g01675,,,,
VIT_04s0044g01170,Aminotransferase; class V,,,Vitvi04g01676,,,,
VIT_04s0044g01180,Cell division protease FtsH,K03798,,Vitvi04g01677,vv50133Primary_active_transporter_cat_A9_to_A18,,,
VIT_04s0044g01190,Maternal effect embryo arrest 50,,,Vitvi04g01678,,,,
VIT_04s0044g01200,Auxin-independent growth promoter,,,Vitvi04g01679,,,,
VIT_04s0044g01210,Phosphatidylinositol 4-kinase,K00888,,Vitvi04g01682,vv10562Inositol_phosphate_metabolism,vv34070Phosphatidylinositol_signaling_system,,
VIT_04s0044g01230,Unknown,,,Vitvi04g01685,,,,
VIT_04s0044g01240,PRLI-interacting factor G,,,Vitvi04g01686,,,,
VIT_04s0044g01260,SEU3B protein,SEUSS,,Vitvi04g01687,vv30009Flower_development,,,
VIT_04s0044g01270,Calcineurin phosphoesterase,,,Vitvi04g01688,,,,
VIT_04s0044g01280,Beta-1;3-glucan synthase,E2_4_1_34,,Vitvi04g01689,vv10500Starch_and_sucrose_metabolism,,,
VIT_04s0044g01290,MAP3Ka,MAP3KA,,Vitvi04g01691,vv44110Cell_cycle,,,
VIT_04s0044g01300,DNA cross-link repair protein,,,Vitvi04g01692,,,,
VIT_04s0044g01310,NADH-plastoquinone oxidoreductase subunit o,NDHO,,Vitvi04g01693,vv10190Oxidative_phosphorylation,,,
VIT_04s0044g01320,ABCNAP13,K02006,,Vitvi04g01694,vv52010ABC_transporters,,,
VIT_04s0044g01330,GDP-mannose transporter (GONST1),GONST1,,Vitvi04g01695,vv50122Porters_cat_7_to_17,,,
VIT_04s0044g01410,Photosystem I reaction center subunit N (PSAN),K02701,,Vitvi04g01700,vv10195Photosynthesis,vv50105Transport_electron_carriers,,
VIT_04s0044g01420,Polygalacturonase GH28,E3_2_1_15,,Vitvi04g01701,vv40006Cell_wall,,,
VIT_04s0044g01430,Unknown protein,,,Vitvi04g01702,,,,
VIT_04s0044g01450,Unknown protein,,,Vitvi04g01705,,,,
VIT_04s0044g01460,PUB26 (plant U- box  26),,,Vitvi04g01706,,,,
VIT_04s0044g01470,Cation/hydrogen exchanger (CHX15),CHX18,,Vitvi04g01708,vv50124Porters_cat_30_to_64,,,
VIT_04s0044g01480,3'(2');5'-bisphosphate nucleotidase,K15422,,Vitvi04g01709,vv10562Inositol_phosphate_metabolism,vv10920Sulfur_metabolism,,
VIT_04s0044g01490,2-oxoisovalerate dehydrogenase alpha subunit; mitochondrial precursor,E1_2_4_4,,Vitvi04g01711,vv10280Valine_leucine_and_isoleucine_degradation,,,
VIT_04s0044g01510,Histone deacetylase HDA14,HDA14,,Vitvi04g01715,vv44110Cell_cycle,,,
VIT_04s0044g01530,UDP-glucuronic acid:anthocyanin glucuronosyltransferase,E2_4_1_236,,Vitvi04g01720,vv10941Flavonoid_biosynthesis,,,
VIT_04s0044g01540,UDP-glucuronic acid:anthocyanin glucuronosyltransferase,E2_4_1_236,,Vitvi04g01721,vv10941Flavonoid_biosynthesis,,,
VIT_04s0044g01550,Pentatricopeptide repeat,,,Vitvi04g01722,,,,
VIT_04s0044g01560,Protein kinase,,,Vitvi04g01723,,,,
VIT_04s0044g01570,DNA topoisomerase III alpha,K03165,,Vitvi04g01724,vv23440Homologous_recombination,vv50132Primary_active_transporter_cat_A5_to_A8,,
VIT_04s0044g01610,CYP82C1p,,,Vitvi04g01727,,,,
VIT_04s0044g01620,RGLG1 (ring Domain LIGASE1),RGLG1,,Vitvi04g01728,vv50004Auxin_transport,,,
VIT_04s0044g01640,No hit,,,Vitvi04g01730,,,,
VIT_04s0044g01660,Unknown,,,Vitvi04g01732,,,,
VIT_04s0044g01670,Ankyrin,K10380,,Vitvi04g01733,,,,
VIT_04s0044g01680,Chromatin remodeling 24,CHR24,,Vitvi04g01734,vv60058SNF2,,,
VIT_04s0044g01690,Glucose-inhibited division family A,K03495,,Vitvi04g01735,,,,
VIT_04s0044g01700,RNA polymerase I specific transcription initiation factor RRN3,RRN3,,Vitvi04g01736,,,,
VIT_04s0044g01710,MORC family CW-type zinc finger 3,MORC3,,Vitvi04g01737,,,,
VIT_04s0044g01720,Unknown protein,,,Vitvi04g01738,,,,
VIT_04s0044g01730,F-box family protein,,,Vitvi04g01739,,,,
VIT_04s0044g01750,Thioredoxin reductase 2,E1_8_1_9,,Vitvi04g01741,vv10240Pyrimidine_metabolism,,,
VIT_04s0044g01770,Serine/threonine protein phosphatase (PP7),E3_1_3_16,,Vitvi04g01742,,,,
VIT_04s0044g01790,Ribosome assembly protein 1,K14536,,Vitvi04g01743,vv23008Ribosome_biogenesis_in_Eukaryotes,,,
VIT_04s0044g01820,RNA polymerase I specific transcription initiation factor RRN3,RRN3,,Vitvi04g01744,,,,
VIT_04s0044g01840,ARID/BRIGHT DNA-binding domain-containing protein,ARID_2,,Vitvi04g01745,vv60005ARID,,,
VIT_04s0044g01850,Auxin efflux carrier,AUXEFF,,Vitvi04g01746,vv50004Auxin_transport,vv50125Porters_cat_66_to_94,,
VIT_04s0044g01860,Auxin efflux carrier,AUXEFF,,Vitvi04g01747,vv50004Auxin_transport,vv50125Porters_cat_66_to_94,,
VIT_04s0044g01880,Auxin Efflux Carrier,AUXEFF,,Vitvi04g01748,vv50004Auxin_transport,vv50125Porters_cat_66_to_94,,
VIT_04s0044g01890,Auxin Efflux Carrier,AUXEFF,,Vitvi04g01749,vv50004Auxin_transport,vv50125Porters_cat_66_to_94,,
VIT_04s0044g01920,FAR1-related sequence 5,FRS5_21,,Vitvi04g01750,vv60071Orphans_far-red,,,
VIT_04s0044g01940,Diacylglycerol O-acyltransferase 1,E2_3_1_20,,Vitvi04g01751,vv10561Glycerolipid_metabolism,vv50124Porters_cat_30_to_64,,
VIT_04s0044g01950,Diacylglycerol acyltransferase family,E2_3_1_20,,Vitvi04g01753,vv10561Glycerolipid_metabolism,vv50124Porters_cat_30_to_64,,
VIT_04s0044g01970,Subtilisin protease precursor,SBT3_5,,Vitvi04g01754,vv50101Channels_and_pores,,,
VIT_04s0044g01990,Lectin protein kinase,,,Vitvi04g01756,,,,
VIT_04s0044g02000,BCL-2-associated athanogene 4,,,Vitvi04g01757,,,,
VIT_04s0044g02010,Gibberellin 20 oxidase 2,E1_14_11_12,,Vitvi04g01759,vv10904Diterpenoid_biosynthesis,,,
VIT_04s0044g02020,Kinesin ZWI (ZWICHEL),ZWICHEL,,Vitvi04g01760,vv44810Regulation_of_actin_cytoskeleton,,,
VIT_04s0044g02040,Ubiquitin carboxyl-terminal hydrolase L5,K05610,,Vitvi04g01763,,,,
VIT_04s0043g00510,Ethylene-responsive transcription factor ERF003,ERF003_1,,Vitvi04g01765,vv30008Ethylene_signaling,vv60003AP2_EREBP,,
VIT_04s0008g00230,Amino acid permease 8,AAP8,,Vitvi04g01769,vv50123Porters_cat_18_to_29,,,
VIT_04s0008g00240,Amino acid permease 6,AAP6,,Vitvi04g01770,vv50123Porters_cat_18_to_29,,,
